id,company_id,amount,type,updated_at,status
184c073a-1363-4ffa-9571-d52e9d404137,bfccab0d-1102-a8e3-5ac0-388d8fbacbad,101250,new_logo,2025-03-05T10:32:22Z,active
04e8aa72-1ede-4b1c-be08-318811007952,126e7030-e6aa-b782-7b04-e4b53f1532b1,111250,new_logo,2025-02-14T10:32:23Z,pending
969ef969-be01-4b41-8b90-66cd6351b132,d1338847-2ac7-110c-a376-26dc31693961,125000,new_logo,2025-01-07T10:32:23Z,pending
747027ea-03cb-44df-88f3-02f8c4e928bc,7f05bf9b-d0f2-8d05-29e9-cc3f1d21058c,148750,new_logo,2025-03-01T10:32:23Z,pending
4ff69463-74fe-42c2-986d-a56a806469d4,e3fe2e06-8966-1322-eb15-ac2aa1619667,525000,other,2025-02-03T10:32:23Z,pending
c4d739d8-617c-49dd-93f4-4b91a31da2b0,e73dbd89-552a-19d0-5aca-c18fa494b0db,197500,new_logo,2025-01-27T10:32:23Z,active
8cebb4e8-f5fe-4446-9ef4-c9880f5708d0,bfccab0d-1102-a8e3-5ac0-388d8fbacbad,163000,expansion,2025-01-18T10:32:23Z,active
b7cdb50f-fb7e-4f4c-987a-d6b9815a55bc,e1efe236-0305-55b3-b9be-346b610795fc,40000,expansion,2025-02-25T10:32:23Z,pending
62533d62-2acb-4b9e-90e1-f06494ff646c,94769d72-ceb5-1160-9d00-9f14ba913ddd,98000,expansion,2025-03-01T10:32:23Z,pending
c3ab5958-0d22-4cdf-a633-beafc47eb8d5,cbed2df5-8e4a-9f42-7f43-c98718c09829,151000,expansion,2025-02-05T10:32:23Z,pending
8936497d-2f44-402b-a6f6-0fc54ccc3e2b,9762341a-5c7c-73a3-1c25-682600616658,68000,expansion,2025-01-05T10:32:23Z,pending
860072b7-c6a4-450d-b22a-acab08165367,d57e2452-c112-656a-f668-a8f3cb128957,315000,other,2025-03-02T10:32:23Z,active
bd2b9b69-d30a-4ad8-8741-3c9828c4a740,126e7030-e6aa-b782-7b04-e4b53f1532b1,615000,other,2025-02-11T10:32:23Z,closed
4e383bbf-f98b-4f6a-b9b3-cbf76817bc7e,6b1b39e0-68d1-4d42-7ff0-e120be22ebba,545000,other,2025-01-01T10:32:23Z,pending
900c8874-ef9f-4bff-b9fc-cda4bf1cbd57,bfccab0d-1102-a8e3-5ac0-388d8fbacbad,660000,other,2025-01-28T10:32:23Z,pending
