id,name,start_date,logo_image_url,employees,target_account
126e7030-e6aa-b782-7b04-e4b53f1532b1,Ooma,2024-12-20,https://images.crunchbase.com/image/upload/t_cb-default-original/v1492060262/bnwjupuoalgo7likl5ll.png,2000,Yes
6b1b39e0-68d1-4d42-7ff0-e120be22ebba,Siemens AG,2025-02-23,https://images.crunchbase.com/image/upload/t_cb-default-original/mky0fkibqswnxfbvhk3i,500,No
7f05bf9b-d0f2-8d05-29e9-cc3f1d21058c,Cyberserv,2025-02-15,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397190269/dd26c343c1095064f73eb19db0848b1a.png,1000,No
94769d72-ceb5-1160-9d00-9f14ba913ddd,Viewpoints,2025-01-29,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397181560/f769a2e4d3eb35f897de495dd7e2a08a.png,0,Yes
9762341a-5c7c-73a3-1c25-682600616658,SET Consulting,2025-03-05,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397185175/e6d0e1d541b25e419c3fe444fba75e8b.gif,300,Yes
bfccab0d-1102-a8e3-5ac0-388d8fbacbad,Enterprise Partners,2024-11-26,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178689/49648cd1007c2ec8294863d8ca5a6a6e.gif,5000,Yes
cbed2df5-8e4a-9f42-7f43-c98718c09829,FanDriveMedia,2025-02-15,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397187895/31e84275d7a7a8acfe2196e7600a8438.jpg,50000,Yes
d1338847-2ac7-110c-a376-26dc31693961,FashionTV,2025-01-09,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397188596/95a6286b9706bd047d415f45f7c2d90b.png,100,Yes
d57e2452-c112-656a-f668-a8f3cb128957,Sky Italia,2024-12-20,https://images.crunchbase.com/image/upload/t_cb-default-original/hzljlyc8hmy3omx2uz8z,200,No
e1efe236-0305-55b3-b9be-346b610795fc,amazingtunes,2024-12-22,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397186998/0c95bea5e4ffa43674ea2be95c169154.png,60000,Yes
e3fe2e06-8966-1322-eb15-ac2aa1619667,Furnish.co.uk,2024-11-26,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397208267/03276914c2de715ba931f3cdf6f8b817.gif,600,No
e73dbd89-552a-19d0-5aca-c18fa494b0db,Hakia,2025-03-02,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182735/3978e000f260c0c0a011f38e1c872c79.png,500,Yes
